Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Davide Paolo Bernasconi,MED/01,0000-0001-8771-5428,24.0,https://openalex.org/A5050512903,"['https://openalex.org/I4210094195', 'https://openalex.org/I4210087357', 'https://openalex.org/I4210156709', 'https://openalex.org/I4210163047', 'https://openalex.org/I189158943', 'https://openalex.org/I4210142152', 'https://openalex.org/I34352273', 'https://openalex.org/I145311948', 'https://openalex.org/I2800679380']",1,https://openalex.org/I66752286
Simone Bianco,INF/01,0000-0002-7070-1545,34.0,https://openalex.org/A5013570285,"['https://openalex.org/I189158943', 'https://openalex.org/I35440088', 'https://openalex.org/I3122695212', 'https://openalex.org/I192455969']",1,https://openalex.org/I66752286
Pier Giovanni Bissiri,SECS-S/01,0000-0003-3769-6649,7.0,https://openalex.org/A5074768639,"['https://openalex.org/I9360294', 'https://openalex.org/I84884186', 'https://openalex.org/I4210137033', 'https://openalex.org/I25217355']",1,https://openalex.org/I66752286
Mirko Cesarini,ING-INF/05,0000-0001-9601-0403,15.0,https://openalex.org/A5049259722,"['https://openalex.org/I4210135780', 'https://openalex.org/I30771326', 'https://openalex.org/I189158943', 'https://openalex.org/I93860229']",1,https://openalex.org/I66752286
Davide Chicco,INF/01,0000-0001-9655-7142,27.0,https://openalex.org/A5011556172,"['https://openalex.org/I185261750', 'https://openalex.org/I4388446386', 'https://openalex.org/I4210131630', 'https://openalex.org/I1325899441', 'https://openalex.org/I2802654988', 'https://openalex.org/I93860229', 'https://openalex.org/I204250578', 'https://openalex.org/I4210098102', 'https://openalex.org/I34771391']",1,https://openalex.org/I66752286
Michele Ciavotta,INF/01,0000-0002-2480-966X,16.0,https://openalex.org/A5079768184,"['https://openalex.org/I165779595', 'https://openalex.org/I93860229', 'https://openalex.org/I15196421', 'https://openalex.org/I4210154378', 'https://openalex.org/I102335020', 'https://openalex.org/I4210110387', 'https://openalex.org/I4210142020', 'https://openalex.org/I4210134847', 'https://openalex.org/I60053951']",1,https://openalex.org/I66752286
Gianluca Della Vedova,INF/01,0000-0001-5584-3089,22.0,https://openalex.org/A5059679442,"['https://openalex.org/I1341049462', 'https://openalex.org/I189158943']",1,https://openalex.org/I66752286
Marco Fattore,SECS-S/03,0000-0002-6624-8637,16.0,https://openalex.org/A5006214257,[],1,https://openalex.org/I66752286
Claudio Ferretti,INF/01,0000-0001-9582-5045,13.0,https://openalex.org/A5082801012,"['https://openalex.org/I189158943', 'https://openalex.org/I20529979']",1,https://openalex.org/I66752286
Elisabetta Fersini,INF/01,0000-0002-8987-100X,23.0,https://openalex.org/A5005702955,"['https://openalex.org/I149213910', 'https://openalex.org/I8204097', 'https://openalex.org/I91136226', 'https://openalex.org/I40347166', 'https://openalex.org/I60053951', 'https://openalex.org/I55143463', 'https://openalex.org/I189158943']",1,https://openalex.org/I66752286
Gianfranco Forte,SECS-P/11,0000-0002-3412-4162,6.0,https://openalex.org/A5083598816,['https://openalex.org/I71209653'],1,https://openalex.org/I66752286
Gabriele Gianini,INF/01,0000-0001-5186-0199,32.0,https://openalex.org/A5037738148,"['https://openalex.org/I189158943', 'https://openalex.org/I4210141355', 'https://openalex.org/I176601375', 'https://openalex.org/I126520041', 'https://openalex.org/I1332878012', 'https://openalex.org/I36253440', 'https://openalex.org/I3132238960', 'https://openalex.org/I2802999702', 'https://openalex.org/I188538660']",1,https://openalex.org/I66752286
Marco Guerzoni,SECS-P/06,0000-0001-7415-0771,6.0,https://openalex.org/A5102799538,"['https://openalex.org/I160013858', 'https://openalex.org/I4210148700', 'https://openalex.org/I55143463', 'https://openalex.org/I71209653', 'https://openalex.org/I1330701686', 'https://openalex.org/I76198965']",1,https://openalex.org/I66752286
Andrea Maurino,INF/01,0000-0001-9803-3668,21.0,https://openalex.org/A5067371383,"['https://openalex.org/I189158943', 'https://openalex.org/I861853513', 'https://openalex.org/I93860229']",1,https://openalex.org/I66752286
Fabio Mercorio,INF/01,0000-0001-6864-2702,22.0,https://openalex.org/A5047827615,"['https://openalex.org/I189158943', 'https://openalex.org/I26415053']",1,https://openalex.org/I66752286
