,Last name,Name,hindex,openalex id,institutions id,institutions name,topics,SSD,orcid,Course
0,Bernasconi,Davide Paolo,24.0,https://openalex.org/A5050512903,"['https://openalex.org/I66752286', 'https://openalex.org/I4210094195', 'https://openalex.org/I4210087357', 'https://openalex.org/I4210156709', 'https://openalex.org/I4210163047', 'https://openalex.org/I189158943', 'https://openalex.org/I4210142152', 'https://openalex.org/I34352273', 'https://openalex.org/I145311948', 'https://openalex.org/I2800679380']","['University of Milano-Bicocca', 'Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda', 'Ospedale Maggiore', 'ASST Fatebenefratelli Sacco', 'IRCCS Humanitas Research Hospital', 'University of Milan', 'ORCID', 'Maastricht University', 'Johns Hopkins University', 'Fistula Foundation']","['Epidemiology', 'Hepatology', 'Oncology', 'Pulmonary and Respiratory Medicine', 'Physiology', 'Surgery', 'Statistics and Probability', 'Radiology, Nuclear Medicine and Imaging', 'Infectious Diseases', 'Rheumatology', 'Immunology', 'Obstetrics and Gynecology', 'Dermatology']",MED/01,0000-0001-8771-5428,Data Science Lab in Medicine
1,Bianco,Simone,34.0,https://openalex.org/A5013570285,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I35440088', 'https://openalex.org/I3122695212', 'https://openalex.org/I192455969']","['University of Milano-Bicocca', 'University of Milan', 'ETH Zurich', 'Polytechnic University of Timişoara', 'York University']","['Computer Vision and Pattern Recognition', 'Atomic and Molecular Physics, and Optics', 'Media Technology', 'Geology', 'Social Psychology', 'Industrial and Manufacturing Engineering', 'Aerospace Engineering', 'Cognitive Neuroscience', 'Computer Graphics and Computer-Aided Design', 'Cell Biology', 'Experimental and Cognitive Psychology']",INF/01,0000-0002-7070-1545,Digital Signal and Image Management
2,Bissiri,Pier Giovanni,7.0,https://openalex.org/A5074768639,"['https://openalex.org/I66752286', 'https://openalex.org/I9360294', 'https://openalex.org/I84884186', 'https://openalex.org/I4210137033', 'https://openalex.org/I25217355']","['University of Milano-Bicocca', 'University of Bologna', 'Newcastle University', 'Istituto di Matematica Applicata e Tecnologie Informatiche', 'University of Pavia']","['Artificial Intelligence', 'Environmental Engineering', 'Statistics and Probability', 'Computational Mechanics', 'Applied Mathematics', 'Statistical and Nonlinear Physics', 'Earth-Surface Processes', 'Biomedical Engineering', 'Finance', 'Soil Science', 'Management Science and Operations Research', 'Global and Planetary Change', 'Ecology', 'Mathematical Physics']",SECS-S/01,0000-0003-3769-6649,Foundations of Probability and Statistics
3,Cesarini,Mirko,15.0,https://openalex.org/A5049259722,"['https://openalex.org/I66752286', 'https://openalex.org/I4210135780', 'https://openalex.org/I30771326', 'https://openalex.org/I189158943', 'https://openalex.org/I93860229']","['University of Milano-Bicocca', 'Center for Nano Science and Technology', 'Italian Institute of Technology', 'University of Milan', 'Politecnico di Milano']","['Management Science and Operations Research', 'Artificial Intelligence', 'Information Systems', 'Computer Networks and Communications', 'Management Information Systems', 'Strategy and Management', 'Political Science and International Relations', 'Marketing', 'Statistical and Nonlinear Physics', 'Computer Vision and Pattern Recognition', 'Computer Science Applications', 'Sociology and Political Science', 'Industrial relations']",ING-INF/05,0000-0001-9601-0403,Service Science
4,Chicco,Davide,27.0,https://openalex.org/A5011556172,"['https://openalex.org/I185261750', 'https://openalex.org/I66752286', 'https://openalex.org/I4388446386', 'https://openalex.org/I4210131630', 'https://openalex.org/I1325899441', 'https://openalex.org/I2802654988', 'https://openalex.org/I93860229', 'https://openalex.org/I204250578', 'https://openalex.org/I4210098102', 'https://openalex.org/I34771391']","['University of Toronto', 'University of Milano-Bicocca', 'Krembil Research Institute', 'Krembil Foundation', 'University Health Network', 'Princess Margaret Cancer Centre', 'Politecnico di Milano', 'University of California, Irvine', 'Applied Multilayers (United Kingdom)', 'University of Cyprus']","['Molecular Biology', 'Health Information Management', 'Artificial Intelligence', 'Information Systems', 'Statistics and Probability', 'Biophysics', 'Epidemiology', 'Computational Theory and Mathematics', 'Information Systems and Management', 'Radiology, Nuclear Medicine and Imaging', 'Neurology', 'Cancer Research', 'Statistics, Probability and Uncertainty', 'Analytical Chemistry', 'Endocrinology, Diabetes and Metabolism']",INF/01,0000-0001-9655-7142,Green Computing
5,Ciavotta,Michele,16.0,https://openalex.org/A5079768184,"['https://openalex.org/I66752286', 'https://openalex.org/I165779595', 'https://openalex.org/I93860229', 'https://openalex.org/I15196421', 'https://openalex.org/I4210154378', 'https://openalex.org/I102335020', 'https://openalex.org/I4210110387', 'https://openalex.org/I4210142020', 'https://openalex.org/I4210134847', 'https://openalex.org/I60053951']","['University of Milano-Bicocca', 'The University of Melbourne', 'Politecnico di Milano', 'University of Applied Sciences and Arts of Southern Switzerland', 'Informa (United Kingdom)', 'Karlsruhe Institute of Technology', 'Microelectronica (Romania)', 'Consorzio di Bioingegneria e Informatica Medica', 'Centro Tecnológico de Investigación, Desarrollo e Innovación en tecnologías de la Información y las Comunicaciones (TIC)', 'Universitat Politècnica de València']","['Information Systems', 'Computer Networks and Communications', 'Industrial and Manufacturing Engineering', 'Artificial Intelligence', 'Management Science and Operations Research', 'Management Information Systems', 'Transportation', 'Building and Construction', 'Geography, Planning and Development', 'Hardware and Architecture', 'Control and Systems Engineering']",INF/01,0000-0002-2480-966X,Technological Infrastructures for Data Science
6,Della Vedova,Gianluca,22.0,https://openalex.org/A5059679442,"['https://openalex.org/I66752286', 'https://openalex.org/I1341049462', 'https://openalex.org/I189158943']","['University of Milano-Bicocca', 'Istituto Nazionale di Statistica', 'University of Milan']","['Molecular Biology', 'Artificial Intelligence', 'Cancer Research', 'Genetics', 'Computational Theory and Mathematics', 'Pathology and Forensic Medicine', 'Information Systems', 'Infectious Diseases']",INF/01,0000-0001-5584-3089,Foundations of Computer Science
7,Fattore,Marco,16.0,https://openalex.org/A5006214257,['https://openalex.org/I66752286'],['University of Milano-Bicocca'],"['Physical and Theoretical Chemistry', 'Management Science and Operations Research', 'Sociology and Political Science', 'Economics and Econometrics', 'Computational Theory and Mathematics', 'Environmental Engineering', 'Organic Chemistry', 'Food Science', 'Artificial Intelligence', 'Social Psychology', 'Management, Monitoring, Policy and Law', 'Marketing', 'Environmental Chemistry', 'Statistical and Nonlinear Physics', 'Statistics and Probability', 'General Economics, Econometrics and Finance', 'Political Science and International Relations']",SECS-S/03,0000-0002-6624-8637,Data Science Lab
8,Ferretti,Claudio,47.0,https://openalex.org/A5033044137,"['https://openalex.org/I27837315', 'https://openalex.org/I686019', 'https://openalex.org/I126596746', 'https://openalex.org/I132091411', 'https://openalex.org/I4210091634', 'https://openalex.org/I5681781', 'https://openalex.org/I185103710', 'https://openalex.org/I4210140958', 'https://openalex.org/I189158943', 'https://openalex.org/I114457229']","['University of Michigan', 'AGH University of Krakow', 'Jagiellonian University', 'A. Alikhanyan National Laboratory', 'Atlas Scientific (United States)', 'The University of Adelaide', 'University of California, Santa Cruz', 'Ann Arbor Center for Independent Living', 'University of Milan', 'University of Geneva']","['Nuclear and High Energy Physics', 'Artificial Intelligence', 'Astronomy and Astrophysics', 'Computer Networks and Communications', 'Radiation', 'Radiology, Nuclear Medicine and Imaging', 'Electrical and Electronic Engineering', 'Mathematical Physics', 'Atomic and Molecular Physics, and Optics', 'Mechanics of Materials', 'Computer Vision and Pattern Recognition', 'Pulmonary and Respiratory Medicine', 'Biomedical Engineering', 'Information Systems and Management']",INF/01,0000-0001-9582-5045,Cybersecurity for Data Science
9,Fersini,Elisabetta,23.0,https://openalex.org/A5005702955,"['https://openalex.org/I66752286', 'https://openalex.org/I149213910', 'https://openalex.org/I8204097', 'https://openalex.org/I91136226', 'https://openalex.org/I40347166', 'https://openalex.org/I60053951', 'https://openalex.org/I55143463', 'https://openalex.org/I189158943']","['University of Milano-Bicocca', 'University of Antwerp', 'Ludwig-Maximilians-Universität München', 'University of Sheffield', 'University of Chicago', 'Universitat Politècnica de València', 'University of Turin', 'University of Milan']","['Artificial Intelligence', 'Statistical and Nonlinear Physics', 'Information Systems', 'Signal Processing', 'Computer Vision and Pattern Recognition', 'Molecular Biology', 'Management Science and Operations Research', 'General Social Sciences', 'Political Science and International Relations', 'Social Psychology', 'Sociology and Political Science', 'Gender Studies']",INF/01,0000-0002-8987-100X,Natural Language Processing
