Unnamed: 0.1,Unnamed: 0,Last name,Name,SSD,orcid,Past Institutions
0,0,Andreotti,Alberta Argia,SPS/09,,
1,1,Bernasconi,Davide Paolo,MED/01,,
2,2,Bianco,Simone,INF/01,0000-0002-7070-1545,"['University of Milan', 'ETH Zurich', 'Polytechnic University of Timişoara', 'York University']"
3,3,Bissiri,Pier Giovanni,SECS-S/01,0000-0003-3769-6649,"['University of Milano-Bicocca', 'University of Bologna', 'Newcastle University', 'Istituto di Matematica Applicata e Tecnologie Informatiche', 'University of Pavia']"
4,4,Cesarini,Mirko,ING-INF/05,,
5,5,Chicco,Davide,INF/01,0000-0001-9655-7142,"['Krembil Research Institute', 'Krembil Foundation', 'University Health Network', 'Princess Margaret Cancer Centre', 'Politecnico di Milano', 'University of California, Irvine', 'Applied Multilayers (United Kingdom)', 'University of Cyprus']"
6,6,Ciavotta,Michele,INF/01,0000-0002-2480-966X,"['The University of Melbourne', 'Politecnico di Milano', 'University of Applied Sciences and Arts of Southern Switzerland', 'Informa (United Kingdom)', 'Karlsruhe Institute of Technology', 'Microelectronica (Romania)', 'Consorzio di Bioingegneria e Informatica Medica', 'Centro Tecnológico de Investigación, Desarrollo e Innovación en tecnologías de la Información y las Comunicaciones (TIC)', 'Universitat Politècnica de València']"
7,7,Della Vedova,Gianluca,INF/01,0000-0001-5584-3089,"['Istituto Nazionale di Statistica', 'University of Milan']"
8,8,Di Domenica,Nico,SECS-P/08,,
9,9,Fattore,Marco,SECS-S/03,,
10,10,Ferretti,Claudio,INF/01,,
11,11,Fersini,Elisabetta,INF/01,,
12,12,Forte,Gianfranco,SECS-P/11,0000-0002-3412-4162,"['University of Milano-Bicocca', 'Bocconi University']"
13,13,Gianini,Gabriele,INF/01,0000-0001-5186-0199,
14,14,Guerzoni,Marco,SECS-P/06,0000-0001-7415-0771,"['University of Turin', 'IMT School for Advanced Studies Lucca', 'Politecnico di Milano', ""Ca' Foscari University of Venice"", 'Luigi Einaudi Foundation', 'Collegio Carlo Alberto', 'Bocconi University']"
15,15,Maurino,Andrea,INF/01,0000-0001-9803-3668,"['University of Milan', 'Sapienza University of Rome', 'Politecnico di Milano']"
16,16,Mercorio,Fabio,INF/01,0000-0001-6864-2702,"['University of Milan', ""University of L'Aquila""]"
17,17,Messina,Enza,MAT/09,0000-0002-4062-0824,"['University of California, Davis', 'University of Milan', 'Gheorghe Asachi Technical University of Iași', 'Brunel University of London']"
18,18,Monti,Gianna,SECS-S/01,0000-0002-7952-3618,['University of Milano-Bicocca']
19,19,Moretto,Enrico,SECS-S/06,0000-0002-3436-1395,"['Associazione Italiana Arbitri', 'Murata (Finland)', 'Sapienza University of Rome', 'Marconi University', 'UniCredit (Italy)', 'Bocconi University', 'Columbia University']"
20,20,Napoletano,Paolo,INF/01,0000-0001-9112-0574,"['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Salerno', 'Sapienza University of Rome', 'Centro di Ricerca in Matematica Pura ed Applicata']"
21,21,Paganoni,Marco,FIS/01,0000-0003-2461-275X,
22,22,Palmonari,Matteo,INF/01,0000-0002-1801-5118,"['Universität Innsbruck', 'Tekniker', 'Università Cattolica del Sacro Cuore', 'University of Milan', 'University of Illinois Chicago']"
23,23,Pasi,Gabriella,INF/01,0000-0002-6080-8170,"['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'American Jewish Committee', 'RIKEN Center for Advanced Intelligence Project', 'Mongolia International University', 'Bar-Ilan University', 'University of Helsinki', 'Tel Aviv University']"
24,24,Pelagatti,Matteo,SECS-S/03,0000-0002-1860-7535,"['Center for Interdisciplinary Studies', 'Free University of Bozen-Bolzano', 'University of Milan']"
25,25,Pennoni,Fulvia,SECS-S/01,0000-0002-6331-7211,"['University of Florence', 'Statistical Service', 'Florence (Netherlands)']"
26,26,Pescini,Dario,INF/01,0000-0002-3090-4823,"['University of Milano-Bicocca', 'University of Milan', 'University of Insubria']"
27,27,Presotto,Luca,FIS/07,0000-0002-8809-0877,"['Vita-Salute San Raffaele University', 'Istituto di Ricovero e Cura a Carattere Scientifico San Raffaele', 'IRCCS Ospedale San Raffaele', 'Ospedale Papa Giovanni XXIII', 'Azienda Socio Sanitaria Territoriale di Cremona', 'Istituto Universitario di Studi Superiori di Pavia', 'Fondazione IRCCS Istituto Neurologico Carlo Besta']"
28,28,Rebora,Paola,MED/01,,
29,29,Stella,Fabio Antonio,MAT/09,,
30,30,Viviani,Marco,INF/01,0000-0002-2274-9050,"['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'Pew Research Center', 'American Jewish Committee', 'University of Milan', 'John Wiley & Sons (United States)', 'Intelligent Systems Research (United States)', 'University of Insubria']"
