,Last name,Name,SSD,orcid,Course
1,Bernasconi,Davide Paolo,MED/01,0000-0001-8771-5428,Data Science Lab in Medicine
2,Bianco,Simone,INF/01,0000-0002-7070-1545,Digital Signal and Image Management
3,Bissiri,Pier Giovanni,SECS-S/01,0000-0003-3769-6649,Foundations of Probability and Statistics
4,Cesarini,Mirko,ING-INF/05,0000-0001-9601-0403,Service Science
5,Chicco,Davide,INF/01,0000-0001-9655-7142,Green Computing
6,Ciavotta,Michele,INF/01,0000-0002-2480-966X,Technological Infrastructures for Data Science
7,Della Vedova,Gianluca,INF/01,0000-0001-5584-3089,Foundations of Computer Science
9,Fattore,Marco,SECS-S/03,0000-0002-6624-8637,Data Science Lab
10,Ferretti,Claudio,INF/01,0000-0001-9582-5045,Cybersecurity for Data Science
11,Fersini,Elisabetta,INF/01,0000-0002-8987-100X,Natural Language Processing
12,Forte,Gianfranco,SECS-P/11,0000-0002-3412-4162,Financial Markets Analytics
13,Gianini,Gabriele,INF/01,0000-0001-5186-0199,Green Computing
14,Guerzoni,Marco,SECS-P/06,0000-0001-7415-0771,Economics for Data Science
15,Maurino,Andrea,INF/01,0000-0001-9803-3668,Data Management
16,Mercorio,Fabio,INF/01,0000-0001-6864-2702,Business Intelligence
17,Messina,Enza,MAT/09,0000-0002-4062-0824,Decision Models
18,Monti,Gianna,SECS-S/01,0000-0002-7952-3618,High Dimensional Data Analysis
19,Moretto,Enrico,SECS-S/06,0000-0002-3436-1395,Data Science Lab in Business and Marketing
20,Napoletano,Paolo,INF/01,0000-0001-9112-0574,Foundations of Deep Learning
21,Paganoni,Marco,FIS/01,0000-0003-2461-275X,Data Science Lab in Environment and Physics
22,Palmonari,Matteo,INF/01,0000-0002-1801-5118,Data Semantics
23,Pasi,Gabriella,INF/01,0000-0002-6080-8170,Text Mining and Search
24,Pelagatti,Matteo,SECS-S/03,0000-0002-1860-7535,Streaming Data Management and Time Series Analysis
25,Pennoni,Fulvia,SECS-S/01,0000-0002-6331-7211,Statistical Modeling
26,Pescini,Dario,INF/01,0000-0002-3090-4823,Data Science Lab in Biosciences
27,Presotto,Luca,FIS/07,0000-0002-8809-0877,Data Science Lab in Medicine
28,Rebora,Paola,MED/01,0000-0003-0606-5852,Big Data in Public Health
29,Stella,Fabio Antonio,MAT/09,0000-0002-1394-0507,Machine Learning
30,Viviani,Marco,INF/01,0000-0002-2274-9050,Text Mining and Search
